u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,ref,width,bridge,access,tunnel,junction
16541711,29421136,0,"[760145987, 1171246332, 306713742, 1137530420]",False,2,Parkstraße,tertiary,50,False,452.638,"LINESTRING (13.458093 52.5548556, 13.4580295 52.5547773, 13.4579572 52.5546881, 13.4578034 52.5544985, 13.4577837 52.5544742, 13.4577141 52.5543886, 13.4576739 52.554336, 13.4576165 52.5542671, 13.4575234 52.5541478, 13.4573772 52.5539665, 13.4573345 52.5539134, 13.4570235 52.5535261, 13.4569836 52.5534765, 13.4568584 52.5533205, 13.4567156 52.5531427, 13.4564504 52.5528123, 13.4563616 52.5527015, 13.4563146 52.552643, 13.456006 52.5522583, 13.4559998 52.5522506, 13.4557498 52.5519391, 13.4557416 52.5519296, 13.4556593 52.551827, 13.4556369 52.5517992, 13.4556093 52.5517658, 13.4552534 52.5513355, 13.455223 52.5512988, 13.4552071 52.5512782, 13.4551426 52.5512016)",1.5833333838992485,0.00026456211721378683,,,,,,
20246103,287932784,0,4686035,True,2,Elsenstraße,primary,30,False,20.863,"LINESTRING (13.4577131 52.4917137, 13.4579625 52.4918239)",4.736691128034778,0.004045119676462111,,,,,,
20246103,1332789412,0,"[627608827, 4686036, 988154925]",True,,Am Treptower Park,primary,50,False,97.58800000000001,"LINESTRING (13.4577131 52.4917137, 13.4579271 52.4915684, 13.4580153 52.4915084, 13.4581276 52.491434, 13.4581676 52.491407, 13.4584344 52.4912301, 13.4585975 52.4911132, 13.458671 52.4910616, 13.4586725 52.4910591)",7.439904432602098,0.0052324009814858794,B 96a,,,,,
20246103,244430178,0,"[110450333, 1022323966, 78176663]",False,"['5', '3']",Elsenstraße,tertiary,30,True,185.22,"LINESTRING (13.4577131 52.4917137, 13.4576164 52.491658, 13.4575763 52.4916332, 13.4575283 52.4915992, 13.4571949 52.4913462, 13.457114 52.4912847, 13.4569834 52.491188, 13.4564688 52.4908023, 13.4561481 52.4905619, 13.4561051 52.4905308, 13.4559685 52.4904317)",1.7119368059238358,0.003150253062663065,,,,,,
20246105,29787108,0,"[46845337, 4068043, 775718060, 321744708]",True,"['1', '3']","['Elsenbrücke', 'An den Treptowers']",primary,30,False,453.74,"LINESTRING (13.4644327 52.4972413, 13.4641756 52.4968277, 13.4639825 52.4966254, 13.4623632 52.49527, 13.4621902 52.495127, 13.4620263 52.4950603, 13.461785 52.4949531, 13.4614926 52.4947192, 13.4609072 52.494251, 13.4607359 52.494114, 13.460665 52.4940573, 13.460617 52.4940189, 13.4605941 52.4940004, 13.460543 52.4939592)",9.526309544148827,0.006082837886071772,B 96a,,yes,,,
20246107,598284527,0,46845338,False,3,Stralauer Allee,primary,50,False,25.201,"LINESTRING (13.4646667 52.4974197, 13.464338 52.4975261)",1.5261583169383761,0.006870177136396967,B 96a,,,,,
20246107,20246105,0,46845339,True,2,Elsenbrücke,primary,30,False,25.493000000000002,"LINESTRING (13.4646667 52.4974197, 13.4645383 52.4973386, 13.4644327 52.4972413)",9.752014668106133,0.002733733872762274,B 96a,,,,,
20246107,4081394148,0,"[60815650, 665689267, 673317332, 673317333, 65674649]",False,"['2', '3']",Alt-Stralau,tertiary,50,False,117.02999999999999,"LINESTRING (13.4646667 52.4974197, 13.4648816 52.4973433, 13.4649842 52.4973067, 13.4650292 52.4972909, 13.4654043 52.4971657, 13.465549 52.4971119, 13.4656348 52.4970799, 13.4656705 52.4970659, 13.4658453 52.4969907, 13.466013 52.4968962, 13.4660239 52.4968898, 13.466104 52.4968431)",1.9720228081855413,0.007641685969321846,,,,,,
20246107,29786491,0,"[432764292, 645012957, 1008965590, 1008965591]",False,"['2', '4']",Markgrafendamm,secondary,"['50', '30']",False,156.155,"LINESTRING (13.4646667 52.4974197, 13.4647459 52.4975523, 13.4647655 52.4975856, 13.4649247 52.4978298, 13.4649541 52.4978717, 13.4650422 52.4980603, 13.4651484 52.4982181, 13.465223 52.4983287, 13.4652632 52.4983885, 13.4654202 52.4985707, 13.4654878 52.4986676, 13.4655248 52.4987208)",1.9788323496150926,0.00027583755602250313,,,,,,
20246112,29275987,0,23044099,True,3,Stralauer Allee,primary,50,False,15.455,"LINESTRING (13.4465904 52.5026911, 13.446801 52.5026374)",5.121207201134243,0.007277735712674938,B 96a,,,,,
