u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
26057347,26057346,0,"[237566144, 1206381001, 1213857011, 20044319]",True,,"['Carrer de les Jonqueres', ""Carrer d'Ortigosa""]",residential,"['10', '30']",False,328.909,16.600982456921123,0.0,"LINESTRING (2.1737424 41.3889558, 2.1737644 41.38891, 2.1737731 41.3888915, 2.1742953 41.3877983, 2.1743157 41.3877557, 2.17436 41.3877893, 2.1743833 41.3878069, 2.1748607 41.3881685, 2.1748862 41.3881881, 2.1757093 41.3888214, 2.1757448 41.3888487, 2.1758863 41.3889575)",,,,,,,,
26057347,26057346,1,237725943,True,3,Carrer de Trafalgar,secondary,50,False,178.85,,0.008998788094933166,"LINESTRING (2.1737424 41.3889558, 2.1739023 41.3889554, 2.1756659 41.3889572, 2.175684 41.3889572, 2.1758863 41.3889575)",,,,,,,,
26057388,26057389,0,"[532696001, 545718433]",True,5,Gran Via de les Corts Catalanes,primary,50,False,132.58299999999997,9.038582350044098,0.02505917152901808,"LINESTRING (2.1608564 41.3838266, 2.1610161 41.3839475, 2.161607 41.3844029, 2.1616377 41.3844258, 2.1617891 41.3845446, 2.1618194 41.3845684, 2.1619691 41.3846778)",,,C-31,12,,,,
26057388,30238009,0,"[550280513, 237506925]",True,3,Carrer de Casanova,tertiary,50,False,150.438,5.3041435123783724,0.001489331602015839,"LINESTRING (2.1608564 41.3838266, 2.160738 41.3839172, 2.1606982 41.3839469, 2.1606726 41.3839653, 2.1605811 41.3840342, 2.1598054 41.3846191, 2.1595845 41.3847856)",,,,,,,,
26057389,559026424,0,328020785,True,2,Carrer de Muntaner,secondary,50,False,17.76,8.896460115002581,0.005019291786695431,"LINESTRING (2.1619691 41.3846778, 2.1620358 41.384623, 2.1620422 41.3846177, 2.1620652 41.3845981, 2.162092 41.3845766, 2.1621127 41.3845599)",,,,,,,,
26057389,3314271774,0,532696011,True,5,Gran Via de les Corts Catalanes,primary,50,False,134.541,5.29464262546666,0.025346647882954144,"LINESTRING (2.1619691 41.3846778, 2.1620328 41.3847272, 2.1621383 41.3848092, 2.1629568 41.3854331, 2.1629924 41.3854603, 2.1631006 41.3855399)",,,C-31,12,,,,
26198828,30685338,0,316582580,True,5,Gran Via de les Corts Catalanes,primary,50,False,133.715,5.037091514214714,0.032858268952218786,"LINESTRING (2.1574616 41.3812781, 2.1576209 41.3813978, 2.1581815 41.3818193, 2.1583982 41.3819822, 2.1584227 41.3820006, 2.1585319 41.382082, 2.1585938 41.3821292)",,,C-31,12,,,,
26198828,30246752,0,1213173770,True,,Carrer del Comte Borrell,living_street,10,False,18.554000000000002,8.575135224545454,0.014579864750054567,"LINESTRING (2.1574616 41.3812781, 2.1575621 41.3812033, 2.1575994 41.3811756, 2.1576195 41.3811606)",,,,,,,,
26198831,26198828,0,316582576,True,5,Gran Via de les Corts Catalanes,primary,50,False,133.494,10.179530035685442,0.03311118939089595,"LINESTRING (2.1563247 41.3804334, 2.1564514 41.3805288, 2.1572686 41.3811357, 2.1573129 41.3811667, 2.1574616 41.3812781)",,,C-31,12,,,,
26198831,30246772,0,905209182,True,2,Carrer de Viladomat,residential,30,False,19.651,8.82902991912681,0.002115950685797055,"LINESTRING (2.1563247 41.3804334, 2.1564085 41.3803676, 2.1564306 41.3803503, 2.1564681 41.3803202, 2.1564868 41.3803052)",,,,,,,,
