osmid,y,x,highway,street_count,geometry
213483154,-34.6148429,-58.4497515,,4,POINT (-58.4497515 -34.6148429)
213483169,-34.6153499,-58.4509696,,3,POINT (-58.4509696 -34.6153499)
213483206,-34.615674,-58.4532215,,4,POINT (-58.4532215 -34.615674)
213483230,-34.6122056,-58.4553417,,4,POINT (-58.4553417 -34.6122056)
213483247,-34.6199369,-58.4527126,traffic_signals,3,POINT (-58.4527126 -34.6199369)
213483261,-34.6174914,-58.4538734,,4,POINT (-58.4538734 -34.6174914)
213483277,-34.6156811,-58.4547288,,3,POINT (-58.4547288 -34.6156811)
213483296,-34.6204556,-58.4539726,,4,POINT (-58.4539726 -34.6204556)
213483315,-34.6157369,-58.4561558,traffic_signals,4,POINT (-58.4561558 -34.6157369)
213483335,-34.6199984,-58.4566292,traffic_signals,4,POINT (-58.4566292 -34.6199984)
213483350,-34.6192832,-58.4545294,,4,POINT (-58.4545294 -34.6192832)
213483372,-34.6188348,-58.4532338,traffic_signals,4,POINT (-58.4532338 -34.6188348)
213483389,-34.6183457,-58.4520191,traffic_signals,4,POINT (-58.4520191 -34.6183457)
213483421,-34.6178733,-58.4507942,traffic_signals,4,POINT (-58.4507942 -34.6178733)
213483445,-34.6170074,-58.4485276,traffic_signals,4,POINT (-58.4485276 -34.6170074)
213483454,-34.6160264,-58.4530932,,3,POINT (-58.4530932 -34.6160264)
213483468,-34.6164123,-58.454373,,4,POINT (-58.454373 -34.6164123)
213483498,-34.6168195,-58.4556676,,4,POINT (-58.4556676 -34.6168195)
213483513,-34.6171551,-58.4566903,,4,POINT (-58.4566903 -34.6171551)
213483623,-34.620848,-58.4550334,,4,POINT (-58.4550334 -34.620848)
213483641,-34.6196394,-58.4555653,,4,POINT (-58.4555653 -34.6196394)
213483660,-34.6182008,-58.4561953,,4,POINT (-58.4561953 -34.6182008)
213483762,-34.6261591,-58.4553633,traffic_signals,4,POINT (-58.4553633 -34.6261591)
213483784,-34.627635,-58.4545309,,4,POINT (-58.4545309 -34.627635)
213605670,-34.6206569,-58.4584913,,4,POINT (-58.4584913 -34.6206569)
213605686,-34.6217676,-58.4577321,,4,POINT (-58.4577321 -34.6217676)
213605756,-34.6156669,-58.4539748,,3,POINT (-58.4539748 -34.6156669)
213605771,-34.6137487,-58.4551988,,3,POINT (-58.4551988 -34.6137487)
213605785,-34.6141204,-58.4541586,,4,POINT (-58.4541586 -34.6141204)
213605800,-34.6143597,-58.4547776,,3,POINT (-58.4547776 -34.6143597)
