u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,access,ref,tunnel,bridge,width,junction
42424225,42427915,0,"[1271523176, 1271523177, 1271523178, 195743156, 1081895353]",False,"['5', '4']",Central Park West,secondary,25 mph,False,324.596,"LINESTRING (-73.9735934 40.7794865, -73.9735358 40.779566, -73.9733542 40.7798151, -73.9726981 40.7807149, -73.9725008 40.7809834, -73.9722516 40.7813224, -73.9720367 40.781618, -73.9718126 40.7819198, -73.9717224 40.7820388)",1.7692960555416977,0.00176374805278782,,,,,,
42424408,42436340,0,1007629838,True,5,Hudson Street,trunk,25 mph,False,73.91899999999998,"LINESTRING (-74.0082309 40.7219848, -74.0082205 40.7220472, -74.0081321 40.7225656, -74.0081187 40.7226441)",1.4789737954635755,0.005013138171237105,,,,,,
42424408,42436064,0,"[1237326682, 1237326683]",True,1,Laight Street,primary,25 mph,False,130.5,"LINESTRING (-74.0082309 40.7219848, -74.008352 40.7219959, -74.0090561 40.722068, -74.009682 40.7221311, -74.0096998 40.7221329, -74.0097659 40.7221396)",4.711498367816059,0.00010534050495253212,,,,,,
42424610,42436308,0,"[46139042, 95181773]",True,5,Hudson Street,secondary,25 mph,False,80.56299999999999,"LINESTRING (-74.008466 40.7206456, -74.0084479 40.7207428, -74.0084206 40.7208934, -74.0083678 40.7211966, -74.0083538 40.7212718, -74.0083381 40.7213636)",14.877389312323851,0.004568086294565441,,,,,,
42424610,4137021568,0,"[480972178, 1237364397]",True,1,Ericsson Place,residential,,False,134.505,"LINESTRING (-74.008466 40.7206456, -74.0084301 40.7206289, -74.0083864 40.7206124, -74.0083476 40.7206034, -74.0080785 40.7205746, -74.0071343 40.7204814, -74.0070264 40.7204758, -74.006894 40.7204753)",6.928142443374313,0.00175240278635041,,,,,,
42424610,42434871,0,"[1237364400, 1237097705, 46116435]",True,2,Beach Street,residential,25 mph,False,131.688,"LINESTRING (-74.008466 40.7206456, -74.0084948 40.7206383, -74.0085302 40.7206318, -74.0085754 40.7206282, -74.0085996 40.7206286, -74.0086288 40.7206309, -74.0092987 40.7206968, -74.0098902 40.7207543, -74.0099345 40.7207586, -74.0099509 40.72076, -74.0099762 40.7207579, -74.0099949 40.7207526, -74.01001 40.7207447)",8.442512323873164,0.00017223642829850396,,,,,,
42424619,42436353,0,"[46139041, 497191099]",True,2,Hudson Street,secondary,25 mph,False,160.37,"LINESTRING (-74.007929 40.7237633, -74.0079132 40.7238482, -74.0078913 40.7239548, -74.0077807 40.7245757, -74.0076808 40.7251271, -74.007669 40.725192)",18.15015397832669,0.003651412279928284,,,,,,
42424619,42440847,0,420809417,True,1,Canal Street,trunk,25 mph,False,87.67899999999999,"LINESTRING (-74.007929 40.7237633, -74.0080308 40.7238449, -74.0084801 40.7241793, -74.008544 40.7242262, -74.0086711 40.7243158)",8.814824704262382,0.015669047409105605,,,,,,
42424641,42423295,0,125527383,True,1,FDR Drive,residential,25 mph,False,164.293,"LINESTRING (-73.9768477 40.7146195, -73.9770173 40.7142933, -73.9772482 40.7138836, -73.9774174 40.7135702, -73.9775238 40.7133869, -73.9775923 40.7132542)",9.598881807721408,0.0012846015930400023,,,,,,
42424672,42427965,0,5669709,False,4,York Avenue,secondary,,False,78.256,"LINESTRING (-73.9592658 40.7593001, -73.9592236 40.759357, -73.9590516 40.759589, -73.958853 40.7598567, -73.9588108 40.7599137)",1.5088927389463023,0.006140963465890721,,,,,,
