osmid,y,x,street_count,highway,geometry
3445490739,-22.9269275,-43.225708,3,,POINT (-43.225708 -22.9269275)
3445490740,-22.9269579,-43.2248448,1,,POINT (-43.2248448 -22.9269579)
3445490741,-22.9271786,-43.2255711,1,,POINT (-43.2255711 -22.9271786)
3445490742,-22.9272598,-43.2274997,3,,POINT (-43.2274997 -22.9272598)
3445490743,-22.9273234,-43.2274332,1,,POINT (-43.2274332 -22.9273234)
3451426504,-22.9281189,-43.2302087,3,,POINT (-43.2302087 -22.9281189)
3451426505,-22.9283665,-43.2257073,1,turning_circle,POINT (-43.2257073 -22.9283665)
3451426519,-22.9293503,-43.2279262,3,,POINT (-43.2279262 -22.9293503)
3451426527,-22.9294331,-43.2277887,3,,POINT (-43.2277887 -22.9294331)
3451426538,-22.9295022,-43.2287734,3,,POINT (-43.2287734 -22.9295022)
3451426542,-22.9296177,-43.2276399,1,,POINT (-43.2276399 -22.9296177)
3451426551,-22.9297453,-43.2290594,3,,POINT (-43.2290594 -22.9297453)
3451426556,-22.9297727,-43.2256275,1,,POINT (-43.2256275 -22.9297727)
3451426557,-22.9298321,-43.2322795,3,,POINT (-43.2322795 -22.9298321)
3451427015,-22.930446,-43.2299355,1,,POINT (-43.2299355 -22.930446)
3451427020,-22.9304798,-43.2260882,1,,POINT (-43.2260882 -22.9304798)
3451427027,-22.930549,-43.2274984,3,,POINT (-43.2274984 -22.930549)
3451427040,-22.9306197,-43.2261761,3,,POINT (-43.2261761 -22.9306197)
3451427051,-22.9308433,-43.2314633,1,,POINT (-43.2314633 -22.9308433)
3451427053,-22.9308337,-43.2309732,1,,POINT (-43.2309732 -22.9308337)
3451427073,-22.9314012,-43.2267722,1,,POINT (-43.2267722 -22.9314012)
3458696652,-22.9395471,-43.2485083,3,,POINT (-43.2485083 -22.9395471)
3487857674,-22.8996446,-43.2016348,3,,POINT (-43.2016348 -22.8996446)
3487857677,-22.8992483,-43.2012022,3,,POINT (-43.2012022 -22.8992483)
3487867688,-22.9013681,-43.2002242,3,,POINT (-43.2002242 -22.9013681)
3487867689,-22.9012139,-43.2001171,4,,POINT (-43.2001171 -22.9012139)
3501440707,-22.9181397,-43.2434442,3,,POINT (-43.2434442 -22.9181397)
3504088869,-22.9105523,-43.2460919,1,,POINT (-43.2460919 -22.9105523)
3504088890,-22.912251,-43.245848,3,,POINT (-43.245848 -22.912251)
3504246808,-22.9136656,-43.2358032,4,,POINT (-43.2358032 -22.9136656)
3504246810,-22.9137442,-43.2357803,4,,POINT (-43.2357803 -22.9137442)
3524243791,-22.9338857,-43.2032955,1,,POINT (-43.2032955 -22.9338857)
3557356214,-22.8975865,-43.1811839,1,,POINT (-43.1811839 -22.8975865)
3638072618,-22.907229,-43.1817198,3,,POINT (-43.1817198 -22.907229)
3638072621,-22.9073164,-43.1816655,3,,POINT (-43.1816655 -22.9073164)
3638072629,-22.9074773,-43.1811672,3,,POINT (-43.1811672 -22.9074773)
3638073478,-22.9126995,-43.1842833,3,,POINT (-43.1842833 -22.9126995)
3644950618,-22.9018562,-43.1806665,3,traffic_signals,POINT (-43.1806665 -22.9018562)
3644950645,-22.9040656,-43.1802073,3,,POINT (-43.1802073 -22.9040656)
3647607387,-22.9008205,-43.1820958,4,,POINT (-43.1820958 -22.9008205)
3647608096,-22.9017901,-43.1798862,3,,POINT (-43.1798862 -22.9017901)
3649910636,-22.9016017,-43.1793406,3,traffic_signals,POINT (-43.1793406 -22.9016017)
3656266395,-22.9192102,-43.2334306,3,,POINT (-43.2334306 -22.9192102)
3656266401,-22.9098494,-43.2061508,3,,POINT (-43.2061508 -22.9098494)
3656266402,-22.9101536,-43.2060414,3,,POINT (-43.2060414 -22.9101536)
3658396514,-22.9100598,-43.183075,4,,POINT (-43.183075 -22.9100598)
3661055541,-22.8993747,-43.2012415,3,,POINT (-43.2012415 -22.8993747)
3661055550,-22.8996021,-43.2019254,3,,POINT (-43.2019254 -22.8996021)
3670564815,-22.904753,-43.1906278,4,,POINT (-43.1906278 -22.904753)
3670564816,-22.9049378,-43.1906725,4,,POINT (-43.1906725 -22.9049378)
3670564817,-22.9052909,-43.1907734,5,,POINT (-43.1907734 -22.9052909)
3686248532,-22.9335625,-43.1847261,3,,POINT (-43.1847261 -22.9335625)
3696113296,-22.9095626,-43.2093461,3,,POINT (-43.2093461 -22.9095626)
3696113300,-22.9095949,-43.209787,3,,POINT (-43.209787 -22.9095949)
3696201463,-22.916251,-43.2386385,3,,POINT (-43.2386385 -22.916251)
3696201467,-22.9163689,-43.238592,3,,POINT (-43.238592 -22.9163689)
3703752725,-22.9060104,-43.1935497,3,,POINT (-43.1935497 -22.9060104)
3703752825,-22.905975,-43.1938761,3,,POINT (-43.1938761 -22.905975)
3708636029,-22.9063805,-43.1941253,3,,POINT (-43.1941253 -22.9063805)
3708636030,-22.9078384,-43.1933745,3,,POINT (-43.1933745 -22.9078384)
3708646727,-22.9072333,-43.1935946,3,,POINT (-43.1935946 -22.9072333)
3711839825,-22.907958,-43.1988084,3,,POINT (-43.1988084 -22.907958)
3727499285,-22.9139052,-43.2424057,3,,POINT (-43.2424057 -22.9139052)
3727499292,-22.9142655,-43.244239,3,,POINT (-43.244239 -22.9142655)
3735851056,-22.9144169,-43.2192451,3,,POINT (-43.2192451 -22.9144169)
3735851061,-22.9145907,-43.2190101,3,,POINT (-43.2190101 -22.9145907)
3752989080,-22.8999288,-43.2349887,3,,POINT (-43.2349887 -22.8999288)
3760366084,-22.9099618,-43.1719236,4,,POINT (-43.1719236 -22.9099618)
3760366085,-22.9097188,-43.1719151,3,,POINT (-43.1719151 -22.9097188)
