u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83538468,83538465,0,10127051,residential,2,20 mph,Rambler Drive,False,True,238.62989087930362,238.62989087930356,1.5303193603041683,6.792319003151179e-05,"LINESTRING (-111.9200967 40.7852081, -111.9202216 40.7852096, -111.9213438 40.7852228, -111.9214961 40.785207, -111.9216321 40.7851653, -111.9220104 40.7849079, -111.9224044 40.784611, -111.9224753 40.7844516)",,,,,,,C
83538468,83643565,0,140417404,residential,2,20 mph,American Beauty Drive,False,False,79.2321106849423,79.2321106849423,1.7256725328316056,0.021468912355535812,"LINESTRING (-111.9200967 40.7852081, -111.9200955 40.7852879, -111.9200865 40.7858548, -111.9200855 40.7859206)",,,,,,,C
83538468,83540834,0,140417404,residential,2,20 mph,American Beauty Drive,False,True,74.68305780663601,74.68305780663603,1.5721113835875604,0.011446155890135602,"LINESTRING (-111.9200967 40.7852081, -111.9200904 40.7851517, -111.9200897 40.7850292, -111.9200606 40.784882, -111.9199465 40.7846438, -111.9199037 40.7845595)",,,,,,,C
83538688,83641767,0,782696468,residential,2,20 mph,North Dorthea Way,False,True,125.30398838923253,125.30398838923253,1.724048721629044,0.000787311491180266,"LINESTRING (-111.9444864 40.7907983, -111.9444682 40.7896715)",,,,,,,C
83538688,83641767,1,"[10127089, 10132578, 10146865]",residential,2,20 mph,Libby Way,False,"[False, True]",253.15964458838707,,,0.0,"LINESTRING (-111.9444864 40.7907983, -111.9445856 40.7907978, -111.9451361 40.7907978, -111.9451871 40.7907907, -111.9452287 40.790778, -111.9452528 40.79075, -111.9452588 40.7907084, -111.9452991 40.7897931, -111.9452957 40.7897388, -111.9452696 40.78969, -111.9452273 40.7896692, -111.945173 40.7896626, -111.94457 40.7896713, -111.9444682 40.7896715)",,,,,,,C
83538688,83643191,0,"[10139154, 782696468]",residential,2,20 mph,"['North Dorthea Way', 'West Sir Timothy Avenue']",False,False,220.92275843397488,220.92275843397488,1.9057297692933994,0.0004940906824672585,"LINESTRING (-111.9444864 40.7907983, -111.9445078 40.7916147, -111.9445943 40.7916906, -111.9459025 40.7916912, -111.9460076 40.7916912)",,,,,,,C
83539194,83539200,0,10127122,residential,2,25 mph,Tuttle Court,False,False,106.90759475225661,106.90759475225661,1.2426774212381284,0.00029638411381149973,"LINESTRING (-111.9071332 40.7802012, -111.9071386 40.7800525, -111.9071473 40.7798727, -111.9072285 40.7796732, -111.9072311 40.7792492)",,,,,,,C
83539194,3778278163,0,348061346,residential,2,25 mph,500 North,False,False,87.19815598334961,87.19815598334961,1.5138660932741497,0.002190764519877946,"LINESTRING (-111.9071332 40.7802012, -111.9080512 40.7802052, -111.9081688 40.7802057)",,,,,,,C
83539194,2496677981,0,348061346,residential,2,25 mph,500 North,False,True,26.27884322271087,26.27884322271087,1.4647201721674035,0.0024533188430527933,"LINESTRING (-111.9071332 40.7802012, -111.9070554 40.7802013, -111.9068211 40.7802004)",,,,,,,C
83539200,83539194,0,10127122,residential,2,25 mph,Tuttle Court,False,True,106.90759475225661,106.90759475225661,1.2426774212381293,0.00029638411381149973,"LINESTRING (-111.9072311 40.7792492, -111.9072285 40.7796732, -111.9071473 40.7798727, -111.9071386 40.7800525, -111.9071332 40.7802012)",,,,,,,C
83539774,83625073,0,10136617,residential,2,20 mph,Aloha Road,False,False,251.92802579416147,251.92802579416147,1.409897578181358,2.811826754215236e-06,"LINESTRING (-111.8715453 40.7856707, -111.8713517 40.7856558, -111.869236 40.7846787, -111.8690429 40.784486)",,,,,,,C
83539774,83678586,0,"[593793892, 10145564]",residential,2,20 mph,"['Northmont Way', 'East North Hills Drive']",False,False,956.5570720412913,952.3753524749197,1.5829494217273798,0.0,"LINESTRING (-111.8715453 40.7856707, -111.8715731 40.7858723, -111.8716521 40.7860067, -111.8717596 40.7860838, -111.8718925 40.7861432, -111.8737378 40.7868126, -111.8743601 40.7870052, -111.8749008 40.7871027, -111.8752956 40.7871612, -111.8756599 40.7872059, -111.8759565 40.7872782, -111.8761926 40.7874029, -111.8763513 40.7876746, -111.8763685 40.787889, -111.8762312 40.788162, -111.8759565 40.7883374, -111.8756273 40.7884497, -111.8743517 40.7886843, -111.8731456 40.788991, -111.8729398 40.7890244, -111.8727551 40.7890345, -111.8723774 40.7890393, -111.8720118 40.7890421, -111.8715657 40.7890423)",,,,,,,C
