u,v,key,osmid,name,highway,oneway,reversed,length,Cost of returning,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction
122381571,122265876,0,13271500,East Waterman Street,residential,False,False,145.742,1.787595283679384,0.0007249518986679799,"LINESTRING (-97.288719 37.682407, -97.287063 37.682424)",,,,,,,
122381571,122381578,0,13255089,South Fountain Street,residential,False,False,181.032,1.6927125202372597,0.0007586537001890643,"LINESTRING (-97.288719 37.682407, -97.28871 37.681885, -97.288703 37.680779)",,,,,,,
122381571,122292399,0,13255089,South Fountain Street,residential,False,True,97.79499999999999,1.78198819694478,0.0014464900372680913,"LINESTRING (-97.288719 37.682407, -97.288726 37.682841, -97.288949 37.68325)",,,,,,,
122381571,122264396,0,"[13271500, 13262156]","['East Waterman Street', 'South Bluff Street']",residential,False,"[False, True]",210.485,1.7830077612850344,0.0005056722892021316,"LINESTRING (-97.288719 37.682407, -97.289976 37.682392, -97.28997 37.681494)",,,,,,,
122381578,122381588,0,13255089,South Fountain Street,residential,False,False,138.104,1.5256274989130494,0.00026946914578280785,"LINESTRING (-97.288703 37.680779, -97.288701 37.679537)",,,,,,,
122381578,122265881,0,13265240,East Lewis Street,residential,False,False,144.942,1.7102772128101364,0.0008018704499844202,"LINESTRING (-97.288703 37.680779, -97.287056 37.680783)",,,,,,,
122381578,122427538,0,13265240,East Lewis Street,residential,False,True,107.505,1.8060768491858152,0.0006496312775960737,"LINESTRING (-97.288703 37.680779, -97.2899246 37.6807761)",,,,,,,
122381578,122381571,0,13255089,South Fountain Street,residential,False,True,181.032,1.6927125202372586,0.0007074472991710374,"LINESTRING (-97.288703 37.680779, -97.28871 37.681885, -97.288719 37.682407)",,,,,,,
122381588,122381578,0,13255089,South Fountain Street,residential,False,True,138.104,1.5256274989130496,0.00026946914578280785,"LINESTRING (-97.288701 37.679537, -97.288703 37.680779)",,,,,,,
122381603,122381609,0,13255091,South Fountain Street,residential,False,False,156.01,1.5532075316380523,0.00026946914578280785,"LINESTRING (-97.288535 37.67879, -97.2885356 37.6787132, -97.288546 37.677387)",,,,,,,
122381609,122377299,0,13255091,South Fountain Street,residential,False,False,198.374,1.6598313409551608,0.0003538689159713854,"LINESTRING (-97.288546 37.677387, -97.288536 37.675603)",,,,,,,
122381609,122420992,0,13270190,East Orme Street,residential,False,False,100.594,1.7230590346123151,0.0006702591043891513,"LINESTRING (-97.288546 37.677387, -97.287403 37.677393)",,,,,,,
122381609,122381603,0,13255091,South Fountain Street,residential,False,True,156.01,1.5532075316380516,0.00026946914578280785,"LINESTRING (-97.288546 37.677387, -97.2885356 37.6787132, -97.288535 37.67879)",,,,,,,
122381609,122427568,0,13270190,East Orme Street,residential,False,True,102.266,1.7587187042659271,0.0008591780392088502,"LINESTRING (-97.288546 37.677387, -97.2891305 37.6773845, -97.289708 37.677382)",,,,,,,
122381612,122381616,0,13255091,South Fountain Street,residential,False,False,213.719,1.53118475117486,2.905327717334856e-07,"LINESTRING (-97.288527 37.67382, -97.288517 37.671898)",,,,,,,
122381612,122377299,0,13255091,South Fountain Street,residential,False,True,198.262,1.807166453150701,2.251628980934513e-06,"LINESTRING (-97.288527 37.67382, -97.288536 37.675603)",,,,,,,
122381612,122420995,0,13275877,East Morris Street,residential,False,False,100.245,1.7064413388504618,0.0005094492152346669,"LINESTRING (-97.288527 37.67382, -97.2879722 37.673821, -97.287388 37.673822)",,,,,,,
122381612,122427589,0,13275877,East Morris Street,residential,False,True,101.037,1.663403987814651,0.0007647548883954674,"LINESTRING (-97.288527 37.67382, -97.289466 37.673821, -97.289675 37.673821)",,,,,,,
122381616,122381612,0,13255091,South Fountain Street,residential,False,True,213.719,1.531184751174861,2.905327717334856e-07,"LINESTRING (-97.288517 37.671898, -97.288527 37.67382)",,,,,,,
122381616,122421002,0,13268468,East Lincoln Street,tertiary,False,False,100.51599999999999,1.617837093059049,0.002095540249320698,"LINESTRING (-97.288517 37.671898, -97.2881245 37.6719011, -97.2879506 37.6719025, -97.2878703 37.6719031, -97.287375 37.671907)",,,,,,,
122381616,122427598,0,"[13268468, 13262166]","['East Lincoln Street', 'South Bluff Street']",tertiary,False,True,212.794,1.4846376929831164,0.002345107900239762,"LINESTRING (-97.288517 37.671898, -97.2886622 37.6718968, -97.288757 37.671896, -97.289215 37.671955, -97.2894062 37.6720368, -97.289554 37.672171, -97.289695 37.672469, -97.289725 37.673039, -97.289781 37.673148)",,,,,,,
122382736,122390683,0,500837641,East 13th Street North,tertiary,False,False,91.321,1.7343311549220595,0.020667411883226162,"LINESTRING (-97.3375411 37.7080478, -97.338579 37.7080322)",,,,,,,
122382736,122382744,0,13255175,Otis Street,residential,False,False,207.431,1.4366018438161463,0.0018328986236736272,"LINESTRING (-97.3375411 37.7080478, -97.3375032 37.7081235, -97.337214 37.708704, -97.337196 37.709864)",,,,,,,
122382736,122311469,0,500837641,East 13th Street North,tertiary,False,True,59.829,1.6630798054262608,0.01862838025800763,"LINESTRING (-97.3375411 37.7080478, -97.3369552 37.7080482, -97.336861 37.708049)",,,,,,,
122382744,122311479,0,13257571,East 14th Street North,residential,False,False,30.263,1.5343196861345234,0.002199914147565953,"LINESTRING (-97.337196 37.709864, -97.336852 37.709867)",,,,,,,
122382744,122405705,0,13257571,East 14th Street North,residential,False,True,23.752,1.4396506899942498,0.0006597272914138124,"LINESTRING (-97.337196 37.709864, -97.337466 37.709863)",,,,,,,
122382744,122382736,0,13255175,Otis Street,residential,False,True,207.431,1.4366018438161459,0.0010727922596258956,"LINESTRING (-97.337196 37.709864, -97.337214 37.708704, -97.3375032 37.7081235, -97.3375411 37.7080478)",,,,,,,
122382975,6353005118,0,52109090,North Bitting Avenue,tertiary,False,False,74.979,1.5746395694383,0.008159177094977342,"LINESTRING (-97.3484438 37.7066664, -97.3484583 37.7073406)",,,,,,,
122382975,122211261,0,13255204,Shadyway Drive,residential,False,False,106.99400000000001,1.5216774380419233,0.0070022755979346025,"LINESTRING (-97.3484438 37.7066664, -97.3485315 37.7066656, -97.3490462 37.7066492, -97.349635 37.706656, -97.349659 37.70666)",,,,,,,
122382975,122460740,0,"[52109088, 52109090, 13276382]",North Bitting Avenue,tertiary,False,True,117.261,1.564590729284069,0.01371445422329332,"LINESTRING (-97.3484438 37.7066664, -97.3484351 37.7065277, -97.3483594 37.7057585, -97.3483466 37.7056147)",,,yes,,,,
122383001,122211261,0,13255204,Shadyway Drive,residential,False,True,314.623,1.4950957241876661,0.0044808143052526145,"LINESTRING (-97.352042 37.708102, -97.3521155 37.7080112, -97.3521229 37.7080009, -97.3521944 37.7079013, -97.352214 37.7078306, -97.352223 37.707745, -97.3521829 37.707637, -97.3520636 37.7074684, -97.351955 37.707355, -97.3517793 37.7072088, -97.351287 37.706965, -97.3511643 37.7069289, -97.3509839 37.7068759, -97.350611 37.706791, -97.350089 37.706732, -97.349659 37.70666)",,,,,,,
