u,v,key,osmid,bridge,oneway,lanes,highway,reversed,length,maxspeed,geometry,Cost of returning,Edge Betweenness,ref,name,tunnel,access,width,junction
122996023,1837220083,0,167700687,,False,,residential,False,36.295,,"LINESTRING (-118.2495005 34.0150938, -118.249238 34.0149648, -118.2491495 34.0149609)",1.5815082600959063,0.00024248302618816683,,East 27th Street,,,,
122996023,3583785802,0,352616645,,False,,unclassified,True,66.457,,"LINESTRING (-118.2495005 34.0150938, -118.2491911 34.0155043, -118.2491185 34.0156007)",1.5815082600959063,0.00024248302618816683,,Hooper Place,,,,
122996129,122993582,0,13430977,,False,,residential,False,93.55,,"LINESTRING (-118.2454299 34.0128635, -118.2458413 34.0120944)",1.5149637493571828,0.00040751028097448655,,Nevin Avenue,,,,
122996129,123546866,0,13430977,,False,,residential,True,106.3,,"LINESTRING (-118.2454299 34.0128635, -118.2449891 34.0137469)",1.421173652434743,0.001999676297216556,,Nevin Avenue,,,,
122996129,122996132,0,13351623,,False,,residential,False,214.752,,"LINESTRING (-118.2454299 34.0128635, -118.2446995 34.012626, -118.244477 34.0125536, -118.2432609 34.0121582)",1.3837025059224608,2.658315009387616e-05,,East 27th Street,,,,
122996132,122993585,0,607540284,,True,,secondary,False,98.056,,"LINESTRING (-118.2432609 34.0121582, -118.2432711 34.0112764)",5.816045592753155,0.0031675705329780447,,Long Beach Avenue,,,,
122996132,122996129,0,13351623,,False,,residential,True,214.752,,"LINESTRING (-118.2432609 34.0121582, -118.244477 34.0125536, -118.2446995 34.012626, -118.2454299 34.0128635)",1.3837025059224628,0.0002383073543813854,,East 27th Street,,,,
122998273,123236284,0,398261919,,False,2,tertiary,False,52.838,,"LINESTRING (-118.2564801 34.0781824, -118.2567443 34.0777606)",1.6357693197565482,0.000645817635355872,,Echo Park Avenue,,,,
122998273,26468563,0,"[398261918, 398261919]",,False,2,tertiary,True,211.097,,"LINESTRING (-118.2564801 34.0781824, -118.2555958 34.0795763, -118.2554173 34.0798644)",1.1610056936540132,0.0003816916905072042,,Echo Park Avenue,,,,
122998278,26468563,0,352957711,,False,2,tertiary,False,62.264,,"LINESTRING (-118.2548159 34.0796086, -118.2554173 34.0798644)",1.1755323567988454,0.00019937362570407121,,Scott Avenue,,,,
122998278,122998273,0,13351954,,True,2,residential,False,270.187,,"LINESTRING (-118.2548159 34.0796086, -118.2558416 34.0779786, -118.2558949 34.0779522, -118.2559656 34.0779586, -118.2563728 34.0781326, -118.2564801 34.0781824)",2.336538050452858,0.00031535143983045126,,Fairbanks Place,,,,
122998278,123329188,0,352957711,,False,2,tertiary,True,53.325,,"LINESTRING (-118.2548159 34.0796086, -118.2545986 34.0795123, -118.2543032 34.0793858)",1.4794294889035478,0.000595886010511401,,Scott Avenue,,,,
122999139,606441505,0,13352123,,False,2,residential,True,243.28500000000003,,"LINESTRING (-118.2446872 34.0780483, -118.2446932 34.0779295, -118.2447036 34.0778486, -118.244725 34.077748, -118.2457596 34.0760685)",1.4563851966482824,0.0008299588808070362,,North Boylston Street,,,,
122999139,123746941,0,13463214,,False,2,residential,True,81.09599999999999,,"LINESTRING (-118.2446872 34.0780483, -118.2439427 34.0780446, -118.2438067 34.0780439)",1.2257436335508411,0.00024248302618816683,,Shoreland Drive,,,,
